mouse,probe_position,stim_current,stim_freq,unitID,waveform_duration,waveform_halfwidth,waveform_rep_slope,waveform_REP,waveform_amplitude,waveform_velocity_above,waveform_velocity_below,VL_pre,MMR_Pre,MMR_Post,MMR_stimOn,angle_pre_ch15,Nspikes_pre,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,pvalue_ch15_pre,VL_stimOn,angle_stimOn_ch15,Nspikes_StimOn,pvalue_ch15_stimOn,VL_post,angle_post_ch15,Nspikes_post,pvalue_ch15_post,peak_ch,area_peak_ch,depth_peak_ch,error_waveform,area_stim_tip,distance_peakch_stim_tip
mouse577578,close,1,sine_140Hz,20,0.3901890189018901,0.1657965796579659,687.8925383845218,0.2832583258325833,256.09205791456446,1.0301507537688452,0.0,0.0964931484146782,0.3768473921240461,0.3447647681949641,0.3668514769486949,1.7715877324802611,136.0,8.178628835951192,8.401983251806707,8.090935639978223,0.3154424104246785,0.1013997379792424,0.5639977732316601,146.0,0.2864913556501586,0.047305367824607,5.639785217917204,163.0,0.5891157225757655,7,CL,3540,0.0180312702126542,SSp-tr6a,2.9303370113350447
mouse577578,close,1,sine_140Hz,23,0.4215121512151216,0.1687668766876688,622.7145473952825,0.2643564356435643,236.58603313687615,1.3735343383584588,-0.6867671691792288,0.0257775820729676,0.2247786008431687,0.2006165716736185,0.2063728472963033,5.063149099993561,660.0,8.005224808523087,8.22864158750718,8.036877290780158,0.998280004124246,0.0162730986916037,1.544838097514945,681.0,0.5506694819844992,0.0178676248692796,3.460199475243774,835.0,0.963275345608056,9,CL,3520,0.0231648723025153,SSp-tr6a,2.901400523884974
mouse577578,close,1,sine_140Hz,27,0.5505850585058507,0.2711071107110712,80.96605610439671,0.3178217821782179,106.0310354792766,1.716917922948074,-0.1373534338358463,0.0237211074095042,0.1729439490265544,0.1915946862996432,0.1877175678536377,1.3552776494049452,1130.0,8.005224808523087,8.22864158750718,8.036877290780158,0.1621625893387635,0.0123425464874798,0.9522957442259918,956.0,0.6390350664365663,0.0165251811970352,1.7416202828845244,973.0,0.3566174350390235,9,CL,3520,0.033218990669591,SSp-tr6a,2.901400523884974
mouse577578,close,1,sine_140Hz,32,0.3243024302430243,0.164986498649865,530.7330853893401,0.2449144914491449,190.17685480948535,-1.9229480737018416,0.0,0.0279830607647609,0.238921683726787,0.2414969734130348,0.2236534227565589,5.869893710902358,568.0,8.005224808523087,8.22864158750718,8.036877290780158,0.9702077580446464,0.0184529608237387,4.300337066009944,507.0,0.8513295851166618,0.0294803907948161,4.476396603147924,450.0,0.6156351918099199,9,CL,3520,0.0202588035089234,SSp-tr6a,2.901400523884974
mouse577578,close,1,sine_140Hz,29,0.4223222322232223,0.1641764176417642,648.2705198009062,0.3245724572457247,261.0347838187314,1.7169179229480729,0.0,0.0239481192705724,0.140660090165248,0.1414689468665604,0.1320467280312601,2.4174731843294133,1878.0,8.04703526007233,8.537609741249785,8.004534076735846,0.4380461405934846,0.0250748096768638,2.50869142164755,1840.0,0.407561239634915,0.015258061050776,5.624723994038988,1569.0,0.970339222715716,10,CL,3500,0.0095038143178517,SSp-tr6a,2.901400523884974
mouse577578,close,1,sine_140Hz,31,0.4833483348334834,0.2111611161116112,166.68718305068825,0.2659765976597661,82.85300721459484,0.6867671691792288,0.6867671691792301,0.0476174881309331,0.4148077012539399,0.3564664349122648,0.4139218155140439,3.631798860844965,94.0,7.483405700568968,7.905252442793895,7.479423696337551,0.8468269190542471,0.1702532831746386,6.063376478109556,131.0,0.0703600496680475,0.0503915469280013,4.443293692279754,154.0,0.9877375117406608,11,CL,3500,0.0323441718727462,SSp-tr6a,2.877281703274812
mouse577578,close,1,sine_140Hz,38,0.3313231323132314,0.1671467146714672,297.61576728537074,0.3329432943294329,106.67838528996676,0.0,0.0,0.0260777591191145,0.1348190377784223,0.1229130518559063,0.1214149644141945,1.9534558040177232,2526.0,7.691925069765968,8.138217336055524,7.794732249996301,0.1435656106701339,0.0123545759106236,1.181393591221427,2624.0,0.5062124400422048,0.0092087073878582,0.1734687109631802,2428.0,0.8883342660531093,13,CL,3480,0.0261956523157161,SSp-tr6a,2.853178052628332
mouse577578,close,1,sine_140Hz,37,0.5052205220522054,0.1814581458145815,692.5229857285004,0.3307830783078307,282.07422630581226,0.343383584589615,0.6867671691792274,0.1209160293967539,0.5562939045211958,0.579414052763101,0.588442557730789,2.9526667638288706,33.0,7.691925069765968,8.138217336055524,7.794732249996301,0.9303682418997724,0.1271422982363783,5.571074430567896,25.0,0.8590102266171933,0.0831591230657352,5.012123854502279,30.0,0.7557402850454648,13,CL,3480,0.0466235562367535,SSp-tr6a,2.853178052628332
mouse577578,close,1,sine_140Hz,34,0.3216021602160216,0.1514851485148515,297.62346012520453,0.2430243024302429,101.36256032728622,0.3433835845896137,-1.3735343383584588,0.0558815270777581,0.2842395868300547,0.29406676746264,0.2695624510557476,1.2028543675284524,343.0,7.691925069765968,8.138217336055524,7.794732249996301,0.3586061650945882,0.0386613654801511,1.2252320903588534,318.0,0.7089716887456823,0.0328749773156538,3.3379269035719563,311.0,0.9362704920992412,13,CL,3480,0.0734444742451126,SSp-tr6a,2.853178052628332
mouse577578,close,1,sine_140Hz,35,0.312961296129613,0.1382538253825382,595.4487898678196,0.2497749774977498,173.4150651525735,0.0,0.0,0.0273702397202955,0.1405714202604095,0.1380118635597258,0.1673663054881785,5.8674704831526405,1828.0,7.691925069765968,8.138217336055524,7.794732249996301,0.0916192424210896,0.038907718966044,1.9922749036210508,1617.0,0.1621097905986724,0.0117520663172938,1.353771022123393,1527.0,0.8189812948069903,13,CL,3480,0.0187808571618702,SSp-tr6a,2.853178052628332
mouse577578,close,1,sine_140Hz,39,0.4234023402340234,0.1628262826282629,283.2241546971646,0.2657065706570656,104.252622968146,0.0,0.2060301507537682,0.1033807037721694,0.410757186421976,0.49444976401484,0.532559814747223,5.334354026029816,110.0,7.3359075881215805,7.915763381273607,7.436123432091814,0.4428317185427857,0.0904412987414589,0.6020515223099699,34.0,0.5305458792271622,0.1353507352359013,5.174035152670135,71.0,0.2132455201517379,14,CL,3460,0.0639920493696228,SSp-tr6a,2.853178052628332
mouse577578,close,1,sine_140Hz,40,0.3810081008100809,0.2087308730873087,311.2526829177276,0.177947794779478,145.52702489211026,0.2060301507537682,2.217276860492941,0.0288675500661029,0.2378040820087175,0.2316827843826661,0.221737110699215,4.049415148791031,589.0,7.3359075881215805,7.915763381273607,7.436123432091814,0.9986251253688332,0.0232403655294044,4.18267196877593,557.0,0.8819891707992392,0.0244851313989403,4.235272768777071,501.0,0.6758239470134475,14,CL,3460,0.0167951396705456,SSp-tr6a,2.853178052628332
mouse577578,close,1,sine_140Hz,44,0.4320432043204321,0.1633663366336634,505.0994863899,0.2792079207920792,185.68263162912467,0.0,0.0,0.0256100666045121,0.1905640523208411,0.1966907271117141,0.2114309598880216,5.115530556071254,794.0,7.71048167104257,8.134496566766481,7.573364999512914,0.4824084296410463,0.0379484202809317,3.1818764995055235,702.0,0.75957027325458,0.019388327780103,2.842542515523181,730.0,0.3565292126975646,17,CL,3440,0.024487315571,SSp-tr6a,2.829089959686684
mouse577578,close,1,sine_140Hz,45,0.4225922592259228,0.1555355535553556,464.331897685248,0.2894689468946894,162.92288625180765,0.0,0.0,0.0331705524791601,0.1891274259713106,0.203032223322116,0.1839247710773853,4.563288757658789,879.0,7.71048167104257,8.134496566766481,7.573364999512914,0.6941607385957116,0.0296049223943681,5.898257827649642,794.0,0.20331750772276,0.0233952048996596,5.119869539671254,593.0,0.8123672718095144,17,CL,3440,0.0135447438202483,SSp-tr6a,2.829089959686684
