mouse,probe_position,stim_current,stim_freq,unitID,peak_ch,waveform_duration,waveform_REP,transient_type,transient_onset,transient_offset,transient_peak_value,meanFR_pre_10s,stdFR_pre_10s,meanFR_pre_1s,stdFR_pre_1s,meanFR_stimOn_10s,meanFR_stimOn_1s,meanFR_stimOn_01s,meanFR_stimOn_last_01s,meanFR_stimOn_last_1s,area_peak_ch,depth_peak_ch,error_waveform,area_stim_tip,distance_peakch_stim_tip
mouse638329,close,5,sine_28Hz,52,139,0.2472361809045226,0.5421952179446963,,,,,40.1456275797213,8.783304237025586,42.885104114122775,8.016465509202721,36.92593622979184,32.954545596345966,37.10625584957958,44.91371135603517,37.20258914899362,HPF,1820,0.0250883662535434,or,1.6412647562169853
mouse638329,close,5,sine_28Hz,53,140,0.2197654941373534,0.513796810286506,,,,,17.50451955272462,7.73166869806304,15.476217897329969,5.46519187608461,14.501804263009562,12.13624029382847,13.767550165667153,13.322930790074446,18.48383645079878,HPF,1800,0.0095874485182217,or,1.6334396223919634
mouse638329,close,5,sine_28Hz,54,141,0.4944723618090452,0.3691759255259274,D,-5.542233338928781e-12,0.7129999999940626,0.0,0.8943824741232037,1.28560439561866,0.5,0.8923374973455713,0.9999999999999998,0.0999999999999999,0.0,2.0149555182353174,1.7999999999999998,HPF,1800,0.0400277428605422,or,1.609736003200525
mouse638329,close,5,sine_28Hz,106,271,0.7966499162479062,0.4368827909987353,,,,,2.6300867342092795,2.4444475237723067,2.238770677691604,2.090284780621756,2.661605813975189,1.8185204311142908,2.185204311142909,4.161398821922952,3.1657253894109294,VISam5,500,0.021733494484433,or,0.8721381771256205
mouse638329,close,5,sine_28Hz,250,272,0.6180904522613064,0.3820387821664087,,,,,0.0803939302582655,0.503222774974092,0.0,0.0,0.0099999999999999,0.0,0.0,0.0,0.0,VISpm5,480,0.2402512440822091,or,0.8721381771256205
mouse638329,close,1,sine_8Hz,2,13,0.5219430485762143,0.3436439326730706,,,,,66.02518492524412,7.3785297161409,69.89509429012632,7.411819219525175,67.95542459007828,67.10973086255443,70.69704684193057,69.35907269123877,65.50300196028792,NPC,3080,0.0163474277783688,or,2.9152615663092742
mouse638329,close,1,sine_8Hz,6,50,0.3983249581239531,0.4375350778813105,,,,,27.84733110232403,4.605839107983452,27.666726701496717,4.060282872278293,28.262238956341275,29.272174122144104,27.52909680743401,27.147244506698936,28.81611222788554,NPC,2700,0.0117568388849619,or,2.511722516521281
mouse638329,close,1,sine_8Hz,8,54,0.3159128978224455,0.5153364281968557,,,,,12.112877761004343,4.701734838621746,13.568981061637585,3.998256482324924,14.113854609387962,14.689243171675557,12.914841855552716,10.101996495240508,9.969635680671264,NPC,2660,0.012243941591235,or,2.47765009636147
mouse638329,close,1,sine_8Hz,21,121,0.6180904522613065,0.5991112550983501,,,,,7.409121721118848,3.379989972083528,7.507232711741088,3.648403557207563,7.5632567848334,8.509628726476322,5.665992785196673,8.810192720047423,7.568410029751306,HPF,2000,0.0211885148532868,or,1.8102140757380052
mouse638329,close,1,sine_8Hz,23,122,0.6043551088777218,0.140335874047061,,,,,27.434899517443714,6.044007663863908,27.396986387062157,7.750348868314758,28.058120550871585,28.531962321019105,21.244721451791488,21.05401651373812,25.60763024389648,SUB,1980,0.0196110265319813,or,1.8102140757380052
mouse638329,close,1,sine_8Hz,24,122,0.5356783919597988,0.5376759861207551,,,,,8.18253464283734,3.5841426889708066,6.610496709033576,2.979813157839556,7.850529612494148,7.469950342052925,11.148889966293387,7.331760744316504,9.66261149150085,SUB,1980,0.0227953946553581,or,1.8102140757380052
mouse638329,close,1,sine_8Hz,26,122,0.604355108877722,0.6322846040567631,,,,,11.44120985991952,4.741202787858644,13.654350446294146,5.434680304066979,12.377072588697244,10.74558912005693,11.82986703812087,8.100920752500132,11.95843414295357,SUB,1980,0.0106883198931985,or,1.8102140757380052
mouse638329,close,1,sine_8Hz,27,122,0.5768844221105527,0.4149137241302502,,,,,5.196981754595229,3.147217089832921,4.625723450807975,2.9070140666591056,4.469210060062761,4.047618335749236,7.540992412514408,6.705853537886127,4.811701200657264,SUB,1980,0.026457173855219,or,1.8102140757380052
mouse638329,close,1,sine_8Hz,28,123,0.6180904522613065,0.3159445512703639,,,,,6.13598005235443,3.3917279087788805,6.484997627604744,3.767379556309303,5.935801614778999,6.637484419040765,3.7201738424741855,3.5308977138994733,4.45998540154988,SUB,1980,0.0177945429668192,or,1.8010413654327877
mouse638329,close,1,sine_8Hz,30,125,0.6180904522613065,0.2817287485913785,D,-5.542233338928781e-12,0.3039999999942893,0.0,0.3416742035976284,0.9340873044959336,0.1999999999999999,0.6152288059474971,0.3099999999999999,0.0999999999999999,0.0,0.0,0.0999999999999999,SUB,1960,0.1088282672466239,or,1.768827295130873
mouse638329,close,1,sine_8Hz,31,125,0.5494137353433837,0.715261219710999,,,,,4.782670092940781,2.9813432648161746,5.866081493974805,3.4852365721053484,5.2825259041575645,5.7737382273566284,4.560341699857938,3.5636508118594463,4.369144780954363,SUB,1960,0.010003777550701,or,1.768827295130873
mouse638329,close,1,sine_8Hz,126,125,0.5494137353433837,0.4838561642228372,,,,,8.662667844179191,3.9214630513741606,7.83860224768816,3.858337596186745,8.015926433699466,8.469850977345883,6.491532649083646,6.247426932325344,6.48031098352333,SUB,1960,0.0156762934741367,or,1.768827295130873
mouse638329,close,1,sine_8Hz,33,126,0.5219430485762143,0.4691277199791242,,,,,2.7383328295706555,2.4540258554231715,3.150127459942703,2.635564768898585,2.318712433429147,2.560049832856343,1.6679291209408031,2.87124334291473,4.170968993728442,HPF,1940,0.0478858274447665,or,1.7778146697561028
mouse638329,close,1,sine_8Hz,34,126,0.6867671691792295,0.3429531533510371,,,,,12.63353929230277,4.348256040190364,13.37481543460182,4.193446112834883,12.813207038878906,12.92660671831644,12.934212100516811,15.164802396877144,11.447430664823624,HPF,1940,0.0333182224005727,or,1.7778146697561028
mouse638329,close,1,sine_8Hz,37,129,0.5631490787269682,0.472561250952037,,,,,11.936195709501376,4.290959463398396,10.07930435932392,3.898750781625932,12.283205804416072,12.746842639044113,12.415578314990178,7.1954369486546685,10.228947352902097,SUB,1920,0.0290471656194399,or,1.7367354432958408
mouse638329,close,1,sine_8Hz,129,130,0.5631490787269682,0.4203157808903795,,,,,5.825447436261599,3.31973709876282,5.220587022545879,2.843639789016742,5.931078749423487,4.4064856751900106,7.1929837424543335,4.8874400729447744,6.552024697476358,HPF,1900,0.0133725921344954,or,1.7367354432958408
mouse638329,close,1,sine_8Hz,46,130,0.5356783919597989,0.3197918087464741,,,,,6.694747635306534,3.325937989485017,7.519687040479845,3.637222042457526,6.5975040843855615,6.579334384606709,11.739694667055389,5.4734883880434495,8.61685603089973,HPF,1900,0.0244795714513056,or,1.7367354432958408
mouse638329,close,1,sine_8Hz,41,130,0.6318257956448912,0.4267116458694324,D,-5.542233338928781e-12,0.2689999999943087,0.0,0.1306401366696814,0.5389729448534248,0.0999999999999999,0.4463779136939814,0.14,0.0999999999999999,0.0,0.0,0.5,HPF,1900,0.0660001246545449,or,1.7367354432958408
mouse638329,close,1,sine_8Hz,38,130,0.5219430485762143,0.7212879296429462,,,,,22.852697825817696,6.853180570727147,24.142796927539123,5.921430310866149,22.16380620704628,21.09698149729018,22.86932300545743,17.558776797447777,18.17033632858542,HPF,1900,0.0085731050011513,or,1.7367354432958408
mouse638329,close,1,sine_8Hz,42,131,0.4670016750418761,0.5428903590888214,,,,,14.099567635270011,4.596923563608629,13.5407412327883,4.736399148261943,15.352061142159638,16.429981655094746,13.15551926428745,20.35555919251916,15.514297247929488,HPF,1900,0.0218761584990768,or,1.7367354432958408
mouse638329,close,1,sine_8Hz,131,133,0.5494137353433837,0.4052217083234043,D,0.0269999999944428,0.1399999999943801,0.0,1.2606722917195743,1.5606742611539863,1.0449499749014877,1.6229153379713128,1.2755050025098509,0.6617700490753822,0.5505002509851213,0.0,0.9625155809592336,HPF,1880,0.0230403799773944,or,1.704772712123232
mouse638329,close,1,sine_8Hz,43,133,0.535678391959799,0.4089973500509425,,,,,2.4249480454017367,2.239635630388816,2.9049224887790928,1.77328772928877,2.3343069377871783,1.7641572275738049,2.6035181623058774,2.177668625939364,2.3910098160232764,HPF,1880,0.0248104264180548,or,1.704772712123232
mouse638329,close,1,sine_8Hz,47,134,0.5631490787269682,0.7787341250467791,,,,,2.148209215757035,2.0964449121689723,2.542595553138724,2.481269399016724,1.99328297262076,2.1391094123797285,5.320093413401887,2.0965963220585357,3.41346504354907,HPF,1860,0.0276082081642082,or,1.704772712123232
mouse638329,close,1,sine_8Hz,48,134,0.1922948073701842,0.6702266432728009,,,,,46.06824308218857,13.349387400802913,51.774038066701976,15.237638341406488,45.52460761284885,46.36819897056648,33.62695112195083,36.90659815067767,39.27119676929517,HPF,1860,0.0107302680359146,or,1.704772712123232
mouse638329,close,1,sine_8Hz,49,135,0.5631490787269682,0.2895123190265166,,,,,0.7565051367453101,1.2185706049572225,1.1,1.7866217726535705,0.7039950167143656,0.5999999999999999,2.575593035730299,0.3995016714365731,1.1246122100727352,HPF,1860,0.0725044311000726,or,1.672946502432161
mouse638329,close,1,sine_8Hz,132,138,0.5631490787269682,0.3612912544479248,,,,,5.499436257037152,2.937867155012879,5.314806410723176,2.9353501424363517,5.343266542046352,4.685193589276822,3.391034816785911,4.759115227342327,5.398974511783876,HPF,1820,0.0179720433480108,or,1.6412647562169853
mouse638329,close,1,sine_8Hz,51,139,0.3433835845896146,0.4982160368653888,,,,,5.1431451684027465,3.6372471591538815,4.418101959116841,3.3525681829448746,4.993070326173255,3.6697068119273135,3.171525630842601,4.307032617325587,4.22689785038934,HPF,1820,0.0193373052820631,or,1.6412647562169853
mouse638329,close,1,sine_8Hz,52,139,0.2472361809045226,0.5421952179446963,,,,,48.47773611969713,9.700074432205918,52.61542090008413,10.663167337483026,49.25932886666595,48.96522014821114,40.07667771412268,41.94086920562747,50.08787355088054,HPF,1820,0.012984478380315,or,1.6412647562169853
mouse638329,close,1,sine_8Hz,53,140,0.2197654941373534,0.513796810286506,,,,,15.915218395089177,6.621600442366358,18.936091985293935,7.025224577644278,14.35840211878794,14.85951573994273,17.559227608704617,15.432719182049215,18.886551839781795,HPF,1800,0.0088086845027562,or,1.6334396223919634
