mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse655957,far,521,0.0696384467796463,0.0725282033854367,0.1365761565005674,5.8897400722149955,0.5396468616448578,5.123555944017756,416.0,484.0,462.0,4.16,4.84,4.62,2.1624638725305907,0.0118932659552324,mouse655957far521,0.1730873087308732,0.8854185418541856,0.4074707470747077,0
mouse655957,far,522,0.0220562646327308,0.0200334656911542,0.03905725189653799,5.335640602530349,6.017345897770503,4.752873912031707,1993.0,2228.0,1448.0,19.93,22.28,14.48,2.1624638725305907,0.0200591141651359,mouse655957far522,0.1830783078307831,0.3135013501350135,0.2670567056705671,2
mouse655957,far,524,0.0263716899480737,0.0115079762459741,0.0499119817890864,5.0114533275017665,5.1535996725827244,4.7249099332431035,956.0,798.0,1007.0,9.56,7.98,10.07,2.1706853756359994,0.0387017370359078,mouse655957far524,0.1296129612961296,0.3067506750675067,0.2538253825382538,2
mouse655957,far,708,0.0923157342122405,0.1186927831399386,0.1740214188960073,5.745507514555613,3.9117350673337854,5.204461798592347,151.0,104.0,68.0,1.51,1.04,0.68,2.1791626832340905,0.0240976850601671,mouse655957far708,0.1509450945094509,0.735823582358236,0.3731773177317731,0
mouse655957,far,527,0.0772221546403649,0.0243130343230872,0.0942514564307527,5.049827367540333,5.155747389518013,4.94865513620246,1052.0,767.0,1142.0,10.52,7.67,11.42,2.1791626832340905,0.0099487212516174,mouse655957far527,0.1423042304230423,0.24194419441944195,0.2054905490549053,2
mouse655957,far,533,0.1541223412028903,0.12944662125744802,0.3861320282633972,5.0648033463142665,5.445946482310648,4.7522875260658175,112.0,84.0,122.0,1.12,0.84,1.22,2.1968727773815213,0.0192417988559567,mouse655957far533,0.1603960396039604,0.8046804680468048,0.3337533753375338,0
mouse655957,far,538,0.0797854969410881,0.0434810561570778,0.0906427403764899,4.888331149651865,3.1695110591097566,5.196190482475498,519.0,632.0,619.0,5.19,6.32,6.19,2.1778716674772185,0.0237792352497446,mouse655957far538,0.16606660666066597,0.5346534653465347,0.5684068406840687,1
mouse655957,far,541,0.0964771092005479,0.0285086395580805,0.0797478621852113,5.989253605050255,4.546197912651856,5.212300839167557,411.0,264.0,450.0,4.11,2.64,4.5,2.219938062199034,0.0273225259488816,mouse655957far541,0.1539153915391539,0.7738973897389742,0.4336633663366335,0
mouse655957,far,698,0.1126884810889639,0.0366579543282751,0.0618173578559719,3.0941123610240897,4.096724165136035,4.717121733997748,144.0,122.0,90.0,1.44,1.22,0.9,2.0673050089428027,0.0298382987986921,mouse655957far698,0.1825382538253824,0.7522952295229524,0.4933393339333934,0
mouse655957,far,487,0.0492338686878354,0.0884755957825853,0.0752829828483049,1.9475465764703328,0.5931608111593605,5.369899429462878,138.0,81.0,150.0,1.3800000000000001,0.81,1.5,2.092396950867593,0.0248585722140066,mouse655957far487,0.1803780378037803,0.8786678667866789,0.4150315031503152,0
