mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse634572,close,46,0.2800565319844939,0.20587692501837102,0.2389539727832676,3.8917105789404713,4.0983427743719885,4.135360941607933,589.0,626.0,818.0,5.89,6.26,8.18,1.6481049723849508,0.0227264676193693,mouse634572close46,0.2378937893789379,0.6286228622862289,0.6599459945994598,1
mouse638330,close,114,0.1746416138338128,0.1179108318594276,0.2592013149923611,4.4084885211579685,4.431991861855648,4.821703772303769,941.0,1062.0,1046.0,9.41,10.620000000000001,10.46,1.6441183047457384,0.0432520471463334,mouse638330close114,0.1471647164716472,0.3345634563456345,0.36291629162916295,0
mouse638330,close,177,0.13807174152169197,0.1025920175955615,0.1136164253692888,2.468430263312248,2.5242878059620955,1.942443849796273,835.0,971.0,1095.0,8.35,9.71,10.950000000000001,1.5276616117452189,0.0437989352401994,mouse638330close177,0.135013501350135,0.4552655265526554,0.1566156615661564,0
mouse638330,close,176,0.1202438286744896,0.1030207486013117,0.1500743873519958,1.9663933901303656,1.7958331435534716,1.8288927482678743,919.0,973.0,1223.0,9.19,9.73,12.23,1.508931741332258,0.0425321967891264,mouse638330close176,0.1693069306930693,0.35697569756975706,0.23006300630063,0
mouse638330,close,183,0.127699552206128,0.1148164613625537,0.1634277622248584,2.6349457694290543,2.634284757597244,2.4531047687317704,974.0,1297.0,1197.0,9.74,12.97,11.97,1.4809203219619889,0.060978846962114,mouse638330close183,0.1225922592259226,0.2705670567056706,0.3629162916291629,0
mouse638330,close,216,0.0827162148342871,0.0607587395714614,0.1024143283221961,4.753569562871637,4.7057848852187165,4.806108325186584,1385.0,1362.0,1373.0,13.85,13.620000000000001,13.73,1.1918997441060215,0.0664770938983538,mouse638330close216,0.1795679567956796,0.6307830783078311,0.4155715571557153,3
mouse638330,close,217,0.310360228481761,0.2911981623542304,0.3564083667114319,4.323001655980201,4.179698260134698,4.385327969923388,692.0,506.0,558.0,6.92,5.0600000000000005,5.58,1.1429129450662459,0.0773061851868986,mouse638330close217,0.1590459045904589,0.5524752475247526,0.3980198019801982,3
mouse638330,close,169,0.2875837614303888,0.2569922145010997,0.3782711581077901,2.6024751731001987,2.4486154374973697,2.084527438832829,230.0,144.0,73.0,2.3000000000000003,1.44,0.73,1.508931741332258,0.0499702958274287,mouse638330close169,0.21197119711971202,0.7493249324932494,0.4190819081908193,3
mouse657902,close,193,0.2290639121846648,0.0304778999314644,0.2394032342330574,5.6276254650583954,5.283961923911492,6.260853758669013,679.0,613.0,679.0,6.79,6.13,6.79,1.3271209439986995,0.0665826909682829,mouse657902close193,0.1795679567956796,0.3148514851485149,1.1643564356435645,2
mouse657902,close,196,0.1175104659721653,0.0241364241015167,0.0835436518773475,5.6649920173141215,5.274701656275858,5.798597468001921,2050.0,1919.0,1899.0,20.5,19.19,18.990000000000002,1.2915591353089488,0.0093225123721944,mouse657902close196,0.3010801080108011,0.5657065706570659,0.4004500450045006,1
mouse657902,close,205,0.4104491577006995,0.0900965696883064,0.4151928967870272,5.069219839780869,0.1565192215867423,5.278208806662675,162.0,77.0,71.0,1.62,0.77,0.71,1.2786711852544421,0.0720242175395571,mouse657902close205,0.1444644464446445,0.6855985598559857,0.5211521152115214,3
mouse657902,close,166,0.0634759441655852,0.2001222005171428,0.1578702856834029,5.712074015218973,5.292055339301362,0.114511612774845,159.0,105.0,128.0,1.59,1.05,1.28,1.340475661845451,0.0321861486250442,mouse657902close166,0.1439243924392439,0.5802880288028804,0.4973897389738974,3
mouse657904,close,249,0.0154506551289211,0.0125308459960955,0.0279533496942406,6.033166515946452,2.091781918610524,1.2761166223760876,1718.0,1687.0,1626.0,17.18,16.87,16.26,1.8367770686721887,0.0216268258035529,mouse657904close249,0.1412241224122412,0.3267326732673267,0.267866786678668,0
mouse657904,close,248,0.1063109925221118,0.1078911779364415,0.077201980930627,2.9363242199396438,2.934484408763569,2.831220749647538,462.0,525.0,570.0,4.62,5.25,5.7,1.8367770686721887,0.0296098208953255,mouse657904close248,0.2505850585058505,0.5886588658865888,0.4134113411341132,1
mouse657904,close,599,0.1341955298960663,0.1122086826546232,0.0867272326338831,2.1613749185159072,1.9806263507408703,3.9276581800247885,164.0,211.0,215.0,1.6400000000000001,2.11,2.15,1.7166464400102894,0.0865453980128055,mouse657904close599,0.2257425742574258,0.6315931593159316,0.4579657965796583,3
mouse657904,close,271,0.0264210604821858,0.0278164632618223,0.0216670554347223,2.8586694152355117,4.314335093298195,1.183519640634871,1559.0,829.0,1439.0,15.59,8.290000000000001,14.39,1.7166464400102894,0.0491294241728956,mouse657904close271,0.1612061206120613,0.4514851485148516,0.4917191719171918,3
mouse657904,close,270,0.1183749362548442,0.17990890453951397,0.22954629121354503,1.986656221229922,2.2852053909675263,2.1846249508635434,760.0,701.0,581.0,7.6000000000000005,7.01,5.8100000000000005,1.7166464400102894,0.0408943944693228,mouse657904close270,0.3008100810081009,0.5819081908190821,0.4981998199819982,1
mouse657904,close,273,0.0501111642726657,0.0549039565271195,0.0971582316440545,5.2948325453203084,4.7919245677257765,5.439868365550344,549.0,468.0,654.0,5.49,4.68,6.54,1.7166464400102894,0.0247788937677563,mouse657904close273,0.1760576057605761,0.4325832583258326,0.3407740774077408,3
